,GOOG
2021-10-26,55.75783671018878
2021-10-27,64.45334483237468
2021-10-28,62.40346798471693
2021-10-29,68.5389379388605
2021-11-01,62.71060741733642
2021-11-02,63.88346766384101
2021-11-03,60.30542118510063
2021-11-04,62.63930658235986
2021-11-05,61.63248602883032
2021-11-08,60.534570260604745
2021-11-09,63.699624533726194
2021-11-10,57.069593781470644
2021-11-11,67.53368575333893
2021-11-12,70.97845684951592
2021-11-15,69.22288289506733
2021-11-16,57.033231707811225
2021-11-17,57.908231485801416
2021-11-18,56.75506598246667
2021-11-19,71.58882730175114
2021-11-22,54.02630932512224
2021-11-23,49.88615660049498
2021-11-24,42.222300046251625
2021-11-25,39.5528799383457
2021-11-26,29.38876353530422
2021-11-29,41.787383411092584
2021-11-30,39.628747782040975
2021-12-01,37.68896811435418
2021-12-02,35.39762735647055
2021-12-03,33.722063205133495
2021-12-06,38.03295176905816
2021-12-07,48.049237685499044
2021-12-08,46.073510128522805
2021-12-09,46.3333385853302
2021-12-10,53.48967984919012
2021-12-13,49.89294880769051
2021-12-14,46.66833505507136
2021-12-15,51.13747613816933
2021-12-16,53.73147875274115
2021-12-17,43.62337256266427
2021-12-20,49.888793070420306
2021-12-21,55.4936482168625
2021-12-22,56.539481340525576
2021-12-23,59.963803631741754
2021-12-24,57.63301490234737
2021-12-27,50.07391692426839
2021-12-28,44.182450986902495
2021-12-29,45.779631765271674
2021-12-30,42.93231535323291
2021-12-31,44.45479768013238
2022-01-03,50.30729564501424
2022-01-04,40.27666927346672
2022-01-05,31.494331293898682
2022-01-06,34.977089947598
2022-01-07,34.689326188023244
2022-01-10,33.7515225441922
2022-01-11,28.460841816776593
2022-01-12,34.32600898422537
2022-01-13,30.015666464174956
2022-01-14,29.074480675079954
2022-01-17,31.661368264700542
2022-01-18,26.358632118086575
2022-01-19,26.193115095395157
2022-01-20,25.23820538417212
2022-01-21,20.714990011590018
2022-01-24,22.13667249712563
2022-01-25,25.27176871277274
2022-01-26,33.023550826273706
2022-01-27,33.610534116157226
2022-01-28,40.085181694610135
2022-01-31,42.17997576496993
2022-02-01,43.30806500634687
2022-02-02,62.435937866229146
2022-02-03,53.53265943126621
2022-02-04,53.947906415243
2022-02-07,53.1910342727163
2022-02-08,54.33001427542479
2022-02-09,59.64041561845737
2022-02-10,60.46788132307186
2022-02-11,54.19018508033123
2022-02-14,60.10525036570271
2022-02-15,58.76333782812574
2022-02-16,59.97424883022819
2022-02-17,48.857997816569835
2022-02-18,43.82889192986928
2022-02-21,40.78303592947325
2022-02-22,20.05144136870925
2022-02-23,22.649470722489497
2022-02-24,33.972298705217256
2022-02-25,42.64379817194303
2022-02-28,42.827526480918294
2022-03-01,37.26932772728315
2022-03-02,42.69121703099715
2022-03-03,50.39880287343196
2022-03-04,43.18959614462747
2022-03-07,32.125674697736244
2022-03-08,31.516159136455528
2022-03-09,52.683069158583706
2022-03-10,53.90324954332546
2022-03-11,50.01307582280365
2022-03-14,45.996963251487394
2022-03-15,53.02151281672511
2022-03-16,51.527642931600205
2022-03-17,50.125179526968545
2022-03-18,52.79471066086382
2022-03-21,53.41987534769933
2022-03-22,57.46837891600528
2022-03-23,55.47336235674914
2022-03-24,61.797484957264494
2022-03-25,72.47246269280443
2022-03-28,72.15200780368407
2022-03-29,66.86071887597765
2022-03-30,68.28013286863656
2022-03-31,66.35996338499416
2022-04-01,77.52821228226546
2022-04-04,77.54857477514963
2022-04-05,65.40656332786156
2022-04-06,54.78655223497971
2022-04-07,49.33794616508326
2022-04-08,45.52005357887734
2022-04-11,31.25715255565555
2022-04-12,31.6556846281306
2022-04-13,29.360560104014098
2022-04-14,25.84434321111712
2022-04-15,24.752626553054924
2022-04-18,23.190352829490948
2022-04-19,30.12780365257713
2022-04-20,30.84584267497445
2022-04-21,25.39149264611295
2022-04-22,15.082479242158627
2022-04-25,24.885808697298387
2022-04-26,24.986564702406
2022-04-27,22.574222917468006
2022-04-28,32.21023296495373
2022-04-29,32.02991628801361
2022-05-02,36.65584588849757
2022-05-03,35.20838353993388
2022-05-04,44.49711795465876
2022-05-05,39.131246675306265
2022-05-06,37.37375445982479
2022-05-09,32.09388173264516
2022-05-10,35.7499052155181
2022-05-11,37.87086827233774
2022-05-12,42.07735353950527
2022-05-13,41.674190390133205
2022-05-16,43.86623175452974
2022-05-17,52.34475266718114
2022-05-18,40.19661396542955
2022-05-19,43.597947566246916
2022-05-20,37.822907423453785
2022-05-23,40.37927803614935
2022-05-24,26.136618381112612
2022-05-25,31.286452489175886
2022-05-26,37.9326011491606
2022-05-27,49.560719904286216
2022-05-30,47.1144359211663
2022-05-31,50.12359845588976
2022-06-01,51.58169142044363
2022-06-02,51.9778187633053
2022-06-03,49.649178621144294
2022-06-06,50.466708381299405
2022-06-07,58.31854859379577
2022-06-08,61.85823983831261
2022-06-09,59.91578858713462
2022-06-10,49.593540029417234
2022-06-13,51.68465758655735
2022-06-14,52.381204023838734
2022-06-15,53.58875592600755
2022-06-16,39.16223409607625
2022-06-17,41.683938103696526
2022-06-20,39.139763241086214
2022-06-21,46.73276742886235
2022-06-22,40.11215880473821
2022-06-23,46.43392121882739
2022-06-24,52.566414152355115
2022-06-27,49.03515667350073
2022-06-28,43.42719175457498
2022-06-29,46.02684245773406
2022-06-30,46.87566479104251
2022-07-01,53.8503154362273
2022-07-04,53.33274583502778
2022-07-05,55.84317559450726
2022-07-06,65.60027485412252
2022-07-07,68.84481447736341
2022-07-08,69.70560956087667
2022-07-11,57.33797586048174
2022-07-12,54.349278274893386
2022-07-13,49.27645099819338
2022-07-14,37.87620172791839
2022-07-15,43.27947136685734
2022-07-18,45.15923750719494
2022-07-19,53.706235142530026
2022-07-20,59.15960782503025
2022-07-21,60.22829000404909
2022-07-22,48.99329674092031
2022-07-25,40.88880486337911
2022-07-26,35.0088166084588
2022-07-27,42.21873242341004
2022-07-28,42.41895844116202
2022-07-29,50.166920535593704
2022-08-01,50.908935328890045
2022-08-02,55.72270944518512
2022-08-03,60.61491543974862
2022-08-04,59.153504541090676
2022-08-05,63.34725398074145
2022-08-08,56.64150501222571
2022-08-09,55.1736942061707
2022-08-10,59.390695559778486
2022-08-11,73.85512216085314
2022-08-12,77.04120616455143
2022-08-15,86.09271042179881
2022-08-16,77.2144359186596
2022-08-17,66.30621359265459
2022-08-18,63.13823742907418
2022-08-19,57.48299172617225
2022-08-22,47.95263528340164
2022-08-23,38.6659133596272
2022-08-24,38.20032702328927
2022-08-25,48.701288307974465
2022-08-26,37.01595047670685
2022-08-29,36.57163788712159
2022-08-30,27.568921906405706
2022-08-31,27.649768848795375
2022-09-01,23.039212853016735
2022-09-02,20.514958744875955
2022-09-05,20.835095076194122
2022-09-06,21.742967323895954
2022-09-07,29.388409198540884
2022-09-08,31.489357972049135
2022-09-09,42.78825040061835
2022-09-12,43.58408603254039
2022-09-13,33.860440621618366
2022-09-14,27.804902906353732
2022-09-15,33.3483494670932
2022-09-16,34.41711023772996
2022-09-19,35.78800046806913
2022-09-20,33.79098387658638
2022-09-21,27.08697733309147
2022-09-22,31.304762581455762
2022-09-23,29.40668207523325
2022-09-26,30.51686094456953
2022-09-27,18.978487578466726
2022-09-28,29.8701482528667
2022-09-29,18.67279391995463
2022-09-30,16.835457544533696
2022-10-03,35.18976841845604
2022-10-04,42.42557249677233
2022-10-05,46.01139626942261
2022-10-06,46.66026056530116
2022-10-07,40.799656513162475
2022-10-10,42.94116976922978
2022-10-11,45.319962822177054
2022-10-12,44.49831084516908
2022-10-13,51.308142274957696
2022-10-14,46.42701014231617
2022-10-17,55.23550755842029
2022-10-18,51.37421121208732
